word,count_a,count_b,delta_cos,neighbor_jaccard,change_score
বল্লাল,25,405,0.8146,0.0,1.4073
রমজান,470,191,0.79237,0.0,1.39619
নাসিম,98,78,0.78961,0.0,1.3948
অর্জুন,103,2922,0.75306,0.0,1.37653
বরাত,77,117,0.74407,0.0,1.37204
পাশা,84,176,0.72936,0.0,1.36468
শ্যামলী,112,26,0.72879,0.0,1.3644
লিপি,148,94,0.72421,0.0,1.3621
টোল,52,173,0.72271,0.0,1.36135
মহিষ,88,371,0.74221,0.0101,1.361
মুহাম্মদ,287,316,0.71862,0.0,1.35931
হাম,77,786,0.71476,0.0,1.35738
মারিয়া,109,156,0.70457,0.0,1.35228
হেনরি,50,216,0.70289,0.0,1.35145
সাবেক,37,1417,0.70073,0.0,1.35037
গুম,180,210,0.69897,0.0,1.34948
ব্যাং,59,196,0.69494,0.0,1.34747
বে,112,35,0.69304,0.0,1.34652
কোর,52,104,0.69203,0.0,1.34601
বোধন,936,31,0.68887,0.0,1.34444
মহেন্দ্র,780,141,0.68395,0.0,1.34198
স্মিথ,147,74,0.68129,0.0,1.34065
গৌরী,803,33,0.67806,0.0,1.33903
আনু,816,38,0.67801,0.0,1.339
ফারুক,384,248,0.69507,0.0101,1.33743
রসিক,287,401,0.67441,0.0,1.3372
সাফ,226,209,0.67294,0.0,1.33647
রানা,58,10990,0.6605,0.0,1.33025
সোল,80,122,0.67652,0.0101,1.32816
মুর,34,154,0.65344,0.0,1.32672
কাফ,151,51,0.65257,0.0,1.32628
মেয়র,48,178,0.65063,0.0,1.32531
কাঞ্চন,70,230,0.64946,0.0,1.32473
পশ্চিমা,42,125,0.64885,0.0,1.32443
চলমান,57,461,0.64774,0.0,1.32387
ইরান,42,3604,0.6456,0.0,1.3228
মিঞা,612,185,0.64094,0.0,1.32047
জনে,241,108,0.63999,0.0,1.32
অগ্নি,108,360,0.63981,0.0,1.31991
উল্কা,273,26,0.63924,0.0,1.31962
শিকদ,369,84,0.63883,0.0,1.31942
হারে,89,188,0.63794,0.0,1.31897
অভিজিৎ,60,79,0.63719,0.0,1.31859
মনির,502,389,0.63285,0.0,1.31642
অগ্নিসংযোগ,73,58,0.63257,0.0,1.31629
অঞ্জ,32,123,0.63172,0.0,1.31586
বসুন্ধ,23,47,0.62725,0.0,1.31363
বাহাদুর,362,281,0.6269,0.0,1.31345
পুনরায়,284,151,0.6263,0.0,1.31315
নিশাত,195,213,0.62623,0.0,1.31311
আকবর,74,660,0.64567,0.0101,1.31273
পদে,330,692,0.64407,0.0101,1.31194
গামা,77,23,0.6218,0.0,1.3109
মেঘনা,289,76,0.62144,0.0,1.31072
নীলা,87,128,0.6196,0.0,1.3098
গ্রুপ,55,840,0.61784,0.0,1.30892
মমতা,213,301,0.61612,0.0,1.30806
গৌরাঙ্গ,96,62,0.61608,0.0,1.30804
সোহাগ,110,51,0.63487,0.0101,1.30733
গোবিন্দ,450,30,0.61276,0.0,1.30638
প্রীতি,99,113,0.6127,0.0,1.30635
তুষ,931,185,0.61159,0.0,1.3058
জবা,560,143,0.61149,0.0,1.30575
বাড়িওয়ালা,152,37,0.61058,0.0,1.30529
লো,89,63,0.61046,0.0,1.30523
ভজহরি,21,78,0.60975,0.0,1.30487
টমাস,451,54,0.60911,0.0,1.30455
মানিক,253,523,0.60589,0.0,1.30294
ইরানি,43,283,0.60581,0.0,1.3029
স্ট্রাইক,36,156,0.60527,0.0,1.30264
দীপ,102,134,0.60422,0.0,1.30211
লিং,69,34,0.60346,0.0,1.30173
জো,212,107,0.60311,0.0,1.30156
টিম,74,420,0.62294,0.0101,1.30137
শীর্ষে,30,144,0.60177,0.0,1.30088
জাতীয়,462,2820,0.60054,0.0,1.30027
মো,23,2323,0.59989,0.0,1.29994
তুলসী,88,38,0.59966,0.0,1.29983
অবরুদ্ধ,73,58,0.59959,0.0,1.29979
অঙ্,151,55,0.59949,0.0,1.29975
অরূপ,23,259,0.59934,0.0,1.29967
জাহেদ,304,41,0.59866,0.0,1.29933
রাহুল,59,982,0.59721,0.0,1.2986
প্রবাসী,80,383,0.59662,0.0,1.29831
মডেল,49,483,0.59628,0.0,1.29814
খোকন,399,71,0.59512,0.0,1.29756
শাখায়,56,61,0.59403,0.0,1.29702
রুবি,124,85,0.59383,0.0,1.29691
হার্বার্ট,24,250,0.59311,0.0,1.29656
পলাশ,52,575,0.59284,0.0,1.29642
সুজন,131,168,0.59122,0.0,1.29561
আজহ,544,360,0.58771,0.0,1.29386
মঞ্জু,71,41,0.60657,0.0101,1.29318
নিক্ষেপ,209,98,0.58634,0.0,1.29317
বিপক্ষে,33,1035,0.58619,0.0,1.29309
রেবেকা,42,605,0.58582,0.0,1.29291
হ্যারিসন,33,206,0.58398,0.0,1.29199
আতর,75,393,0.58294,0.0,1.29147
মলে,68,31,0.58187,0.0,1.29093
শরীফ,78,324,0.58061,0.0,1.29031
যমুনা,141,139,0.5802,0.0,1.2901
ব্যবধানে,45,269,0.57923,0.0,1.28962
মনি,794,120,0.57891,0.0,1.28946
বাঘা,91,68,0.57843,0.0,1.28922
মাসুদ,54,653,0.57841,0.0,1.2892
মঈন,41,37,0.57749,0.0,1.28874
মধ্যবর্তী,72,81,0.57744,0.0,1.28872
চলতি,73,543,0.57598,0.0,1.28799
এজেন্ট,45,804,0.57578,0.0,1.28789
দুর্দান্ত,77,202,0.57508,0.0,1.28754
পরিক্রমণ,24,62,0.57219,0.0,1.28609
লরেন্স,25,217,0.592,0.0101,1.2859
রামচরণ,177,59,0.57138,0.0,1.28569
জেমস,69,152,0.57107,0.0,1.28553
পিট,52,78,0.57097,0.0,1.28549
পশুর,115,353,0.61157,0.02041,1.28538
মিম,28,75,0.57057,0.0,1.28529
রাধা,1012,141,0.5704,0.0,1.2852
দারুণ,576,925,0.56949,0.0,1.28475
মধুসূদন,250,67,0.56905,0.0,1.28453
রাজ,66,311,0.56767,0.0,1.28384
সন্তোষ,246,42,0.56691,0.0,1.28345
হাজি,180,170,0.56578,0.0,1.28289
সম্রাট,262,909,0.58561,0.0101,1.2827
প্ল্যাটফর্ম,83,295,0.58534,0.0101,1.28257
শশাঙ্ক,270,112,0.56416,0.0,1.28208
মহামান্য,23,221,0.56394,0.0,1.28197
পালিত,124,86,0.56392,0.0,1.28196
রান,39,1028,0.56375,0.0,1.28187
আবু,435,590,0.56351,0.0,1.28176
ক্রীড়া,25,167,0.56174,0.0,1.28087
কিষাণ,20,21,0.56159,0.0,1.2808
জয়নাল,120,212,0.55962,0.0,1.27981
জার,36,362,0.55926,0.0,1.27963
গোলে,20,470,0.55924,0.0,1.27962
পুরো,436,3231,0.55784,0.0,1.27892
বিজয়া,292,20,0.57781,0.0101,1.2788
উত্তম,176,205,0.55718,0.0,1.27859
কারিগর,81,113,0.55709,0.0,1.27855
কামাল,72,302,0.55706,0.0,1.27853
সুশীল,313,20,0.55601,0.0,1.278
রুমি,24,383,0.55583,0.0,1.27792
মিত্র,575,529,0.59587,0.02041,1.27753
টুনি,89,2236,0.55307,0.0,1.27653
তেলের,95,460,0.55262,0.0,1.27631
বিজ্ঞানী,66,778,0.57242,0.0101,1.27611
সিং,933,373,0.57225,0.0101,1.27602
সাইমন,68,35,0.55201,0.0,1.276
