word,early_avg_pm,y2010_2025_pm,delta_pm,pre_1950,1950_1970,1970_1990,1990_2010,2010_2025
রানা,398.27,2711.04,2312.77,11.995,17.119,1165.697,1250.408,2711.036
সাথে,484.31,1833.09,1348.78,318.854,534.811,599.271,1438.453,1833.094
মানুষ,3502.48,4761.95,1259.48,2738.494,3815.398,3953.534,5632.388,4761.951
পুলিশ,536.44,1752.18,1215.74,248.386,490.834,870.097,929.55,1752.183
বের,683.37,1823.97,1140.6,144.934,768.569,1136.606,1694.827,1823.967
তৈরি,583.02,1583.7,1000.68,268.377,561.965,918.706,1045.281,1583.699
ফোন,232.42,1169.52,937.1,40.232,203.948,453.066,650.827,1169.52
ইরান,8.36,889.04,880.68,7.996,12.396,4.692,4.413,889.042
কারণে,330.55,1194.19,863.64,300.612,321.123,369.922,539.936,1194.188
রাত,1183.94,2010.21,826.27,507.767,1314.006,1730.058,1924.581,2010.212
রহমান,173.26,957.87,784.6,136.437,215.754,167.601,174.949,957.866
ঘটনা,408.52,1139.42,730.9,282.87,409.668,533.019,566.271,1139.424
যুক্তরাষ্ট্র,5.72,705.51,699.79,8.746,3.542,4.88,14.093,705.511
জানান,32.39,728.95,696.55,17.492,34.828,44.856,52.812,728.946
নাম,2868.59,3546.3,677.71,1957.353,2870.92,3777.488,3942.259,3546.301
আসলে,288.14,947.26,659.12,86.46,315.515,462.45,598.3,947.259
অর্জুন,66.97,720.8,653.84,74.216,30.4,96.281,926.418,720.805
সবচেয়ে,267.14,901.13,633.99,118.696,299.282,383.436,459.366,901.13
পুরো,164.98,797.03,632.05,29.736,128.685,336.515,548.477,797.03
কর্মকর্তা,6.52,618.92,612.4,4.248,6.493,8.821,14.947,618.925
লাখ,121.15,731.41,610.26,75.465,121.897,166.099,221.498,731.412
সমস্যা,135.12,738.32,603.2,69.968,122.192,213.207,517.302,738.319
বাংলাদেশের,46.42,638.41,591.99,31.486,57.849,49.924,101.923,638.413
সাল,126.01,714.64,588.63,121.944,174.433,81.642,133.667,714.638
নিশ্চিত,98.67,679.36,580.69,92.957,93.267,109.794,211.675,679.362
মো,4.64,573.04,568.4,5.248,6.788,1.877,2.705,573.042
দাবি,117.61,683.8,566.2,84.461,174.138,94.217,142.066,683.803
ইস,85.37,649.27,563.89,48.978,136.949,70.193,96.941,649.267
হুমায়ূন,2.62,560.71,558.09,1.499,1.476,4.88,23.915,560.708
জাতীয়,138.83,695.64,556.81,179.168,136.359,100.973,135.375,695.643
পানি,192.79,737.09,544.29,55.475,244.384,278.521,626.628,737.086
এরপর,102.02,645.32,543.3,19.241,90.316,196.504,147.475,645.32
কীভাবে,98.63,636.44,537.81,20.99,63.752,211.143,401.714,636.44
টুনি,14.3,551.58,537.28,1.999,26.268,14.639,7.545,551.581
স্থানীয়,53.76,587.1,533.34,45.229,54.308,61.748,67.901,587.103
এলাকায়,40.88,571.07,530.19,8.246,34.828,79.577,91.531,571.069
অংশ,246.12,775.32,529.21,296.364,172.662,269.325,317.869,775.322
শেষ,1796.73,2318.07,521.34,1360.876,1986.947,2042.362,1966.574,2318.071
অভিযোগ,76.85,595.24,518.4,86.46,63.752,80.328,99.503,595.244
গতকাল,63.8,577.98,514.17,3.498,84.118,103.788,95.233,577.976
বিষয়ে,321.53,833.78,512.26,481.779,255.895,226.908,231.747,833.785
ট্রাম্প,0.19,511.87,511.68,0.0,0.0,0.563,0.427,511.865
শতাংশ,3.14,514.09,510.95,3.249,1.476,4.692,10.249,514.085
ভেতর,541.04,1046.42,505.38,89.709,474.896,1058.53,923.429,1046.425
ব্যাংক,8.16,507.92,499.76,4.248,7.084,13.138,43.132,507.918
সালে,61.29,549.61,488.32,56.474,74.083,53.302,68.328,549.608
ম্যাচ,15.75,502.74,486.99,5.997,13.282,27.965,47.972,502.738
আস,2039.8,2525.78,485.98,913.581,2223.361,2982.464,2976.125,2525.778
আহমেদ,6.42,479.55,473.13,0.25,13.577,5.443,53.951,479.55
ছবি,600.45,1072.57,472.13,305.61,522.415,973.322,863.926,1072.574
শিশু,186.72,638.41,451.69,194.411,157.61,208.14,274.31,638.413
এসব,607.39,1055.55,448.16,384.824,631.62,805.721,803.712,1055.553
আরেক,164.91,612.51,447.61,33.984,176.204,284.527,383.493,612.512
হামলা,23.89,471.16,447.28,2.499,18.299,50.862,38.862,471.163
ওটা,401.12,847.6,446.48,174.17,419.407,609.781,606.698,847.6
বিশ্বকাপ,0.5,443.29,442.79,0.0,0.0,1.501,2.562,443.288
ছোটাচ্চু,0.0,440.08,440.08,0.0,0.0,0.0,1.708,440.081
গুরুত্বপূর্ণ,25.99,463.76,437.77,5.747,19.48,52.739,169.967,463.762
রাশেদ,1.82,437.86,436.05,0.0,4.132,1.314,196.302,437.861
হাসপাতালে,102.5,532.09,429.59,57.474,108.32,141.7,191.746,532.093
সুযোগ,337.64,758.55,420.91,211.653,393.434,407.834,408.689,758.547
উদ্দিন,3.87,424.29,420.42,0.25,4.427,6.944,98.222,424.293
দেশ,973.0,1390.3,417.3,1122.485,927.36,869.158,901.507,1390.3
প্রধান,229.41,643.35,413.93,354.338,164.989,168.914,253.242,643.347
সিদ্ধান্ত,95.93,506.44,410.51,78.464,64.047,145.266,174.949,506.438
এখনো,302.72,712.91,410.19,324.601,293.969,289.594,375.663,712.911
বিরুদ্ধে,226.12,634.71,408.6,267.627,241.432,169.29,237.299,634.713
তাকিয়ে,1064.64,1470.72,406.08,222.898,1400.485,1570.528,1827.498,1470.718
বিভাগ,38.19,439.59,401.4,31.735,48.109,34.721,44.271,439.587
দ্রুত,251.41,652.72,401.31,100.454,219.296,434.485,394.311,652.721
রাজনৈতিক,68.5,461.79,393.29,50.727,98.285,56.492,138.934,461.789
আগ,274.37,667.27,392.91,95.706,311.678,415.717,459.366,667.275
