word,pre_1950,1950_1970,1970_1990,1990_2010,2010_2025
ডিজিটাল,0.5,0.295,0.938,12.242,115.694
ইন্টারনেট,0.5,0.0,2.065,6.975,52.79
মোবাইল,6.747,3.542,9.947,74.022,312.546
কম্পিউটার,NA,NA,NA,NA,NA
অনলাইন,0.0,0.0,0.563,0.285,67.591
ভাইরাল,0.0,0.0,0.375,1.566,38.976
ফেসবুক,0.0,0.0,0.0,4.698,112.487
করোনা,2.749,1.476,1.689,1.139,13.321
গাজা,0.25,0.0,0.188,3.416,37.002
গুম,22.49,53.127,42.416,48.969,51.803
স্বাধীনতা,145.933,116.879,69.067,113.311,95.713
পরিবেশ,5.747,100.646,122.369,142.778,295.525
