word,log_frequency,polysemy_dispersion,change_score
বল্লাল,1.3979,0.0801,1.4073
রমজান,2.6721,0.2691,1.3962
নাসিম,1.9912,0.1425,1.3948
অর্জুন,2.0128,0.1333,1.3765
বরাত,1.8865,0.1447,1.372
পাশা,1.9243,0.2047,1.3647
শ্যামলী,2.0492,0.1775,1.3644
লিপি,2.1703,0.0865,1.3621
টোল,1.716,0.1343,1.3614
মহিষ,1.9445,0.1531,1.361
মুহাম্মদ,2.4579,0.2299,1.3593
হাম,1.8865,0.1185,1.3574
মারিয়া,2.0374,0.1902,1.3523
হেনরি,1.699,0.052,1.3515
সাবেক,1.5682,0.1273,1.3504
গুম,2.2553,0.2248,1.3495
ব্যাং,1.7709,0.1515,1.3475
বে,2.0492,0.1297,1.3465
কোর,1.716,0.1253,1.346
বোধন,2.9713,0.2346,1.3444
মহেন্দ্র,2.8921,0.2885,1.342
স্মিথ,2.1673,0.1508,1.3406
গৌরী,2.9047,0.1681,1.339
আনু,2.9117,0.2622,1.339
ফারুক,2.5843,0.2355,1.3374
রসিক,2.4579,0.1942,1.3372
সাফ,2.3541,0.1669,1.3365
রানা,1.7634,0.1119,1.3302
সোল,1.9031,0.1875,1.3282
মুর,1.5315,0.0652,1.3267
কাফ,2.179,0.1696,1.3263
মেয়র,1.6812,0.1159,1.3253
কাঞ্চন,1.8451,0.0889,1.3247
পশ্চিমা,1.6232,0.163,1.3244
চলমান,1.7559,0.1388,1.3239
ইরান,1.6232,0.064,1.3228
মিঞা,2.7868,0.3305,1.3205
জনে,2.382,0.207,1.32
অগ্নি,2.0334,0.1643,1.3199
উল্কা,2.4362,0.1671,1.3196
শিকদ,2.567,0.2289,1.3194
হারে,1.9494,0.1683,1.319
অভিজিৎ,1.7782,0.1406,1.3186
মনির,2.7007,0.246,1.3164
অগ্নিসংযোগ,1.8633,0.1545,1.3163
অঞ্জ,1.5051,0.1315,1.3159
বসুন্ধ,1.3617,0.0595,1.3136
বাহাদুর,2.5587,0.1453,1.3135
পুনরায়,2.4533,0.1712,1.3132
