word,count_a,count_b,delta_cos,neighbor_jaccard,change_score
বাবর,1265,58,0.82081,0.0,1.4104
কান্ত,1016,46,0.7453,0.0,1.37265
চন্দ্রনাথ,330,74,0.7439,0.0,1.37195
শান্তনুর,42,49,0.70091,0.0,1.35045
শৈল,97,73,0.6982,0.0,1.3491
কিকি,75,3692,0.69666,0.0,1.34833
নাদির,20,544,0.71387,0.0101,1.34683
মিনহাজ,33,49,0.68855,0.0,1.34427
ঝর্ণা,29,278,0.66967,0.0,1.33484
তথাগত,99,257,0.66698,0.0,1.33349
কাজি,30,182,0.66695,0.0,1.33348
বিজলী,20,603,0.66346,0.0,1.33173
রঘুনন্দন,31,129,0.66143,0.0,1.33072
যিশু,47,358,0.6587,0.0,1.32935
গুগ,174,25,0.6567,0.0,1.32835
কৈলাস,108,131,0.65616,0.0,1.32808
কাউন্ট,87,201,0.65565,0.0,1.32782
টেডি,110,45,0.65527,0.0,1.32763
সিরাজ,305,238,0.65269,0.0,1.32635
তাহ,62,1750,0.6728,0.0101,1.3263
সিদ্ধার্থ,27,139,0.65088,0.0,1.32544
যতি,73,36,0.64665,0.0,1.32332
ঝা,49,308,0.6395,0.0,1.31975
জাহেদ,188,27,0.63726,0.0,1.31863
বেবি,122,122,0.63712,0.0,1.31856
তাতা,182,138,0.63665,0.0,1.31833
রঘুনাথ,102,1296,0.63475,0.0,1.31738
গৌর,1790,793,0.63205,0.0,1.31603
ধীমান,30,30,0.63198,0.0,1.31599
হারুন,273,551,0.63061,0.0,1.3153
আদম,136,786,0.62895,0.0,1.31448
অর্জুন,513,6508,0.64414,0.0101,1.31197
বিনয়,852,3378,0.64272,0.0101,1.31126
নূর,300,54,0.6221,0.0,1.31105
বাক,132,545,0.61925,0.0,1.30962
সরোজিনী,240,41,0.63865,0.0101,1.30922
খোজা,68,72,0.61665,0.0,1.30833
অৰ্জুন,69,107,0.61315,0.0,1.30657
মোক,82,68,0.60996,0.0,1.30498
ইউনুস,157,34,0.60946,0.0,1.30473
রঘুবীর,30,246,0.60657,0.0,1.30328
গোপীনাথ,657,48,0.60592,0.0,1.30296
নিমা,83,904,0.6001,0.0,1.30005
অরিন্দম,36,576,0.59869,0.0,1.29934
আদিত্য,65,1147,0.59537,0.0,1.29769
মতি,106,790,0.59529,0.0,1.29765
হুমায়ুন,140,68,0.59489,0.0,1.29744
শওকত,76,571,0.59477,0.0,1.29738
মাধব,106,687,0.6141,0.0101,1.29695
রাজু,68,686,0.59361,0.0,1.29681
