word,count_a,count_b,delta_cos,neighbor_jaccard,change_score
বারি,45,103,0.84767,0.0,1.42384
রা,153,267,0.70109,0.0,1.35054
ফ্রান্স,102,1753,0.68018,0.0,1.34009
দীপক,286,183,0.66792,0.0,1.33396
জাহাঙ্গীর,43,125,0.66504,0.0,1.33252
উল্কা,273,41,0.68238,0.0101,1.33109
ভুবন,90,278,0.66197,0.0,1.33098
ওমর,60,161,0.65463,0.0,1.32731
টমাস,451,160,0.65383,0.0,1.32691
কর্নেল,86,5874,0.67081,0.0101,1.32531
উর্বশী,39,123,0.65046,0.0,1.32523
মহেন্দ্র,780,63,0.6464,0.0,1.3232
সুধাময়,32,179,0.64252,0.0,1.32126
লতিফ,99,95,0.6399,0.0,1.31995
মনোহর,330,61,0.63944,0.0,1.31972
নিকি,62,705,0.63507,0.0,1.31753
নূর,106,300,0.63024,0.0,1.31512
হেঃ,35,103,0.62455,0.0,1.31228
রানা,58,6211,0.62232,0.0,1.31116
নারায়ণ,381,193,0.62122,0.0,1.31061
বটুক,151,431,0.6185,0.0,1.30925
লা,77,326,0.61587,0.0,1.30793
ক্লাইভ,36,917,0.63513,0.0101,1.30747
বটেশ্বর,53,74,0.6137,0.0,1.30685
দুর্যোধন,41,371,0.61175,0.0,1.30588
শিশুপাল,53,30,0.61113,0.0,1.30556
শ্যামল,96,539,0.60866,0.0,1.30433
অরূপ,23,147,0.60757,0.0,1.30378
কল্যাণ,294,1111,0.60675,0.0,1.30337
শকুনি,45,112,0.60621,0.0,1.30311
বিধুশেখর,56,789,0.60603,0.0,1.30302
সিরাজ,141,305,0.60435,0.0,1.30217
ফাদা,92,265,0.60399,0.0,1.30199
শ্রীনাথ,45,929,0.60339,0.0,1.3017
আদম,105,136,0.59893,0.0,1.29946
মনু,217,125,0.61457,0.0101,1.29718
জগদীশ,64,414,0.59399,0.0,1.297
সুহাস,237,434,0.59204,0.0,1.29602
শিবনাথ,168,33,0.58745,0.0,1.29372
তিনু,41,65,0.58478,0.0,1.29239
সাঁ,355,176,0.58112,0.0,1.29056
বাড়িত,23,44,0.58106,0.0,1.29053
নীত,131,63,0.57859,0.0,1.28929
স্বরাজ,37,184,0.57727,0.0,1.28863
বিমান,74,1062,0.59654,0.0101,1.28817
সেজদা,48,94,0.57584,0.0,1.28792
মারিয়া,109,230,0.57578,0.0,1.28789
শিকদ,369,27,0.57388,0.0,1.28694
মেট,82,88,0.57358,0.0,1.28679
অভয়,1753,136,0.57353,0.0,1.28676
