word,count_a,count_b,delta_cos,neighbor_jaccard,change_score
তুই,3643,6755,0.12131,0.5873,0.47335
জুন,127,135,0.15309,0.49254,0.58401
এপ্রিল,89,108,0.15878,0.49254,0.58685
ডিসেম্বর,74,101,0.15044,0.47059,0.60463
১লা,21,29,0.11791,0.44928,0.60968
পৌনে,134,246,0.11892,0.44928,0.61018
বেলা,1420,1560,0.23905,0.47059,0.64894
এগারোটা,201,289,0.11732,0.40845,0.65021
বারোটায়,45,85,0.08198,0.38889,0.6521
পাঞ্জাবি,229,521,0.17282,0.42857,0.65784
এগারটা,57,47,0.09804,0.38889,0.66013
সোয়া,108,121,0.10625,0.38889,0.66424
পৌষ,78,87,0.14623,0.40845,0.66466
শুত,308,479,0.19549,0.42857,0.66918
নটায়,54,177,0.11923,0.38889,0.67073
জুলা,93,67,0.1587,0.40845,0.6709
জানুয়ারি,99,64,0.13243,0.38889,0.67732
দেয়,1389,2683,0.1749,0.40845,0.679
নভেম্বর,46,111,0.13633,0.38889,0.67927
তোর,3813,6483,0.13671,0.38889,0.67947
দাব,2447,4459,0.17893,0.40845,0.68101
খেল,1154,2304,0.26691,0.44928,0.68418
নটা,325,541,0.14873,0.38889,0.68548
দিয়েছিল,1239,1700,0.1891,0.40845,0.6861
বৈশাখ,133,99,0.15279,0.38889,0.6875
সেপ্টেম্বর,53,87,0.16204,0.38889,0.69213
চুলে,218,353,0.13696,0.36986,0.69862
গান,4205,4320,0.13879,0.36986,0.69953
কাঁচাপাকা,51,112,0.1054,0.35135,0.70135
দেব,4397,7081,0.14249,0.36986,0.70138
সাড়ে,950,1529,0.18122,0.38889,0.70172
অক্টোবর,76,134,0.14974,0.36986,0.70501
পাঁচটায়,55,118,0.1131,0.35135,0.7052
দিলে,2852,3607,0.19089,0.38889,0.70656
শ্রাবণ,96,73,0.19894,0.38889,0.71058
বারোটা,288,430,0.16997,0.36986,0.71512
দাড়ি,644,912,0.20816,0.38889,0.71519
মাদুর,85,65,0.13877,0.35135,0.71803
সকাল,1128,2056,0.22134,0.38889,0.72178
টাকা,6084,10147,0.1118,0.33333,0.72257
বাতি,554,619,0.19003,0.36986,0.72515
গাছ,3222,6526,0.12134,0.33333,0.72734
পেয়,1285,1974,0.23573,0.38889,0.72898
তারিখে,117,188,0.16344,0.35135,0.73037
সাতটায়,33,92,0.09264,0.31579,0.73053
শার্ট,235,556,0.16389,0.35135,0.73059
বিকেল,762,1787,0.20311,0.36986,0.73169
পারেনি,1133,1788,0.20582,0.36986,0.73304
তুম,85,126,0.21331,0.36986,0.73679
নেব,1155,1937,0.21347,0.36986,0.73687
