word,count_a,count_b,delta_cos,neighbor_jaccard,change_score
১লা,41,21,0.09922,0.51515,0.53446
নভেম্বর,34,46,0.1103,0.51515,0.54
এপ্রিল,64,89,0.14051,0.51515,0.5551
সেপ্টেম্বর,68,53,0.12639,0.49254,0.57066
৭ই,23,38,0.083,0.47059,0.57091
অক্টোবর,70,76,0.08805,0.47059,0.57344
বৈশাখ,187,133,0.2013,0.49254,0.60811
পৌষ,112,78,0.18004,0.47059,0.61943
তারিখে,104,117,0.11289,0.42857,0.62788
ডিসেম্বর,67,74,0.15348,0.42857,0.64817
আশ্বিন,125,75,0.12306,0.40845,0.65308
আগস্ট,33,86,0.16511,0.42857,0.65398
জুলা,67,93,0.16603,0.42857,0.65444
জানুয়ারি,43,99,0.18381,0.42857,0.66334
মার্চ,42,120,0.15907,0.40845,0.67109
শ্রাবণ,193,96,0.19622,0.38889,0.70922
জুন,59,127,0.19728,0.38889,0.70975
ফেব্রুয়ারি,43,70,0.12365,0.35135,0.71047
অগ্রহায়ণ,88,33,0.1633,0.36986,0.71179
টাকা,7689,6084,0.11402,0.33333,0.72368
গাছ,2516,3222,0.12936,0.33333,0.73134
পার,5066,6068,0.16629,0.35135,0.73179
চেয়ারে,341,532,0.21187,0.36986,0.73607
খাম,141,232,0.13926,0.33333,0.7363
তুই,2675,3643,0.12805,0.31579,0.74824
মাদুর,170,85,0.14476,0.31579,0.75659
আলো,2669,3365,0.1129,0.2987,0.75775
চল্লিশ,210,272,0.18587,0.33333,0.7596
তক্তপোশ,94,133,0.1188,0.2987,0.7607
ফাল্গুন,121,64,0.15504,0.31579,0.76173
পেয়,674,1285,0.27454,0.36986,0.76741
আর্তনাদ,274,387,0.16766,0.31579,0.76804
কলেজ,540,742,0.20453,0.33333,0.76893
চেয়ার,131,217,0.13922,0.2987,0.77091
রাত,2032,4452,0.17564,0.31579,0.77203
বিছ,409,389,0.14476,0.2987,0.77368
ছটা,149,220,0.17967,0.31579,0.77405
কাগজ,1260,1667,0.2221,0.33333,0.77772
গান,2551,4205,0.12262,0.28205,0.77926
সাড়ে,421,950,0.15821,0.2987,0.78041
পঁচিশ,238,290,0.19466,0.31579,0.78154
উঠ,2375,6148,0.16325,0.2987,0.78292
বেলা,2006,1420,0.23547,0.33333,0.7844
তোর,2807,3813,0.13859,0.28205,0.78724
সাল,488,591,0.27753,0.35135,0.78742
চেহা,838,1497,0.218,0.31579,0.79321
তাকিয়া,53,52,0.08937,0.25,0.79468
দাব,1588,2447,0.18869,0.2987,0.79564
পঁয়ত্রিশ,55,69,0.12337,0.26582,0.79586
এগারোটা,97,201,0.12544,0.26582,0.7969
